,sector_share,sector_elec_rate_abs,sector_elec_rate_rel,elec_decarb_abs,elec_decarb_rel,non_elec_decarb_abs,non_elec_decarb_rel
TOTIND,,,,,,,
TOTTRANS,,,,,,,
RESIDENT,,,,,,,
COMMPUB,,,,,,,
AGRICULT,,,,,,,
FISHING,,,,,,,
ONONSPEC,,,,,,,
NONENUSE,,,,,,,
